term,estimate,std.error,statistic,p.value
(Intercept),0.6167673345158908,0.038865337079908836,15.869342217405451,2.0190787605497262e-50
batch1,-0.132437819572705,0.020915422598804637,-6.332065199594586,3.7443552312831937e-10
batch3,-0.26627913408834536,0.022089555080678454,-12.054526816669904,3.2406059930500283e-31
batch4,-0.12269482633158355,0.021916802183833146,-5.598208411174554,2.842853991601156e-8
batch5,0.10226623423272826,0.021732065645760867,4.705776059197423,2.909064931938101e-6
prot1,-0.012423851404960731,0.023075888836517424,-0.5383910233308143,0.5904347189151085
prot2,-3.697104908070482e-4,6.747610232009411e-4,-0.5479132286764434,0.5838817041941612
seasonAutumn,0.005521468360851962,0.018192784545863996,0.30349770519913233,0.7615778275485744
seasonSummer,-0.01120204289887992,0.020014065286838217,-0.559708521898681,0.5758117527120532
seasonWinter,0.016259794350580496,0.020020506523825247,0.8121569916940241,0.4169073940310739
cov1,-0.01369018347312611,0.022654614971350986,-0.6042999843713392,0.5457901921411806
